uvrstitev,startna_st,name,state,velocity_1,distance_1,SLO_1,GER_1,AUT_1,POL_1,JPN_1,NOR_1,FIN_1,CAN_1,KAZ_1,ITA_1,FRA_1,RUS_1,CZE_1,SUI_1,ROU_1,USA_1,KOR_1,SWE_1,gate_1,tocke_1,mesto_1,velocity_2,distance_2,SLO_2,GER_2,AUT_2,POL_2,JPN_2,NOR_2,FIN_2,CAN_2,KAZ_2,ITA_2,FRA_2,RUS_2,CZE_2,SUI_2,ROU_2,USA_2,KOR_2,SWE_2,gate_2,tocke_2,mesto_2,tocke,hill_size,k_point
9.,59,GEIGER Karl,GER,87.6,126.5,18.0,,,18.0,,,,,18.0,18.0,,18.0,,,,,,,5,122.1,6.,87.6,131.5,19.0,,,18.5,,,,,19.0,19.0,,18.5,,,,,,,5,127.9,10.,250.0,134,120
10.,65,DAMJAN Jernej,SLO,87.1,123.0,18.0,,,17.5,,,,,18.0,18.5,,17.5,,,,,,,5,113.9,15.,87.1,130.0,19.0,,,18.5,,,,,18.5,19.0,,18.5,,,,,,,5,131.6,7.,245.5,134,120
11.,58,JOHANSSON Robert,NOR,87.9,120.0,16.5,,,16.5,,,,,16.5,16.5,,17.0,,,,,,,5,107.7,23.,87.9,137.0,19.0,,,18.5,,,,,19.0,19.0,,19.0,,,,,,,5,136.1,4.,243.8,134,120
12.,49,AMMANN Simon,SUI,86.9,123.5,17.5,,,18.0,,,,,17.5,17.5,,17.5,,,,,,,5,117.0,11.,86.8,133.5,17.5,,,17.0,,,,,17.5,16.5,,17.5,,,,,,,5,125.8,13.,242.8,134,120
13.,60,FETTNER Manuel,AUT,86.9,124.5,18.0,,,18.0,,,,,18.0,18.0,,18.0,,,,,,,5,118.0,10.,87.1,131.0,18.5,,,18.5,,,,,18.5,18.5,,18.5,,,,,,,5,124.7,15.,242.7,134,120
14.,48,STJERNEN Andreas,NOR,87.8,127.0,17.0,,,17.0,,,,,17.5,17.0,,16.5,,,,,,,5,120.8,7.,87.4,128.0,18.5,,,18.0,,,,,18.0,18.5,,18.0,,,,,,,5,121.0,17.,241.8,134,120
15.,68,FORFANG Johann Andre,NOR,87.5,122.5,18.0,,,18.0,,,,,17.5,18.0,,17.5,,,,,,,5,115.1,13.,87.2,129.5,18.5,,,18.5,,,,,18.5,18.0,,18.5,,,,,,,5,125.7,14.,240.8,134,120
16.,63,ZYLA Piotr,POL,86.6,121.5,18.0,,,17.5,,,,,18.0,17.5,,17.5,,,,,,,5,114.0,14.,86.8,131.0,18.5,,,18.5,,,,,18.0,18.5,,18.5,,,,,,,5,126.6,12.,240.6,134,120
17.,57,LEYHE Stephan,GER,87.9,119.5,17.5,,,17.5,,,,,17.5,17.5,,17.0,,,,,,,5,109.6,19.,87.9,132.0,18.0,,,18.0,,,,,18.0,19.0,,18.0,,,,,,,5,127.9,10.,237.5,134,120
18.,44,GRANERUD Halvor Egner,NOR,87.5,118.0,17.0,,,17.0,,,,,17.5,17.5,,17.5,,,,,,,5,107.7,23.,87.5,126.0,18.0,,,18.0,,,,,18.0,18.5,,18.5,,,,,,,5,119.9,18.,227.6,134,120
19.,62,KUBACKI Dawid,POL,87.6,121.5,18.0,,,18.0,,,,,17.5,18.0,,17.5,,,,,,,5,115.3,12.,87.3,126.5,18.0,,,18.5,,,,,18.0,18.5,,18.0,,,,,,,5,111.7,23.,227.0,134,120
20.,46,AIGNER Clemens,AUT,87.2,119.5,17.5,,,17.0,,,,,17.5,17.5,,17.5,,,,,,,5,108.1,21.,87.1,122.5,17.5,,,17.5,,,,,18.0,18.0,,17.5,,,,,,,5,117.4,19.,225.5,134,120
21.,54,SEMENIC Anze,SLO,87.4,120.5,17.5,,,17.0,,,,,17.5,17.0,,17.0,,,,,,,5,108.4,20.,87.4,126.0,18.0,,,18.0,,,,,18.0,18.0,,17.5,,,,,,,5,116.9,20.,225.3,134,120
22.,47,ZAJC Timi,SLO,86.9,119.5,17.0,,,16.5,,,,,17.5,17.0,,16.5,,,,,,,5,105.7,28.,87.2,121.0,17.5,,,17.0,,,,,17.5,17.5,,17.0,,,,,,,5,112.7,22.,218.4,134,120
23.,37,POPPINGER Manuel,AUT,86.9,119.5,17.5,,,17.0,,,,,17.5,18.0,,17.5,,,,,,,5,104.5,29.,87.0,125.0,18.0,,,17.5,,,,,17.5,18.0,,17.5,,,,,,,5,113.8,21.,218.3,134,120
24.,56,PASCHKE Pius,GER,87.2,120.5,18.0,,,17.5,,,,,18.0,18.0,,17.5,,,,,,,5,108.0,22.,87.1,123.5,18.0,,,18.0,,,,,18.0,18.0,,18.0,,,,,,,5,109.6,24.,217.6,134,120
25.,41,BARTOL Tilen,SLO,86.9,119.5,17.0,,,16.5,,,,,17.0,17.0,,17.0,,,,,,,5,107.3,26.,86.9,121.0,18.0,,,17.5,,,,,17.5,17.5,,17.5,,,,,,,5,107.3,25.,214.6,134,120
26.,35,WOLNY Jakub,POL,87.4,124.5,18.0,,,17.5,,,,,17.5,17.5,,17.5,,,,,,,5,109.8,18.,87.0,121.5,18.0,,,17.5,,,,,17.5,17.0,,17.5,,,,,,,5,104.7,28.,214.5,134,120
27.,23,DESCOMBES SEVOIE Vincent,FRA,87.4,123.5,17.5,,,17.5,,,,,18.0,18.0,,17.5,,,,,,,5,106.4,27.,87.3,117.0,17.0,,,17.0,,,,,17.5,17.5,,17.5,,,,,,,5,106.4,27.,212.8,134,120
28.,50,DESCHWANDEN Gregor,SUI,86.8,116.5,17.0,,,17.0,,,,,17.5,17.0,,17.0,,,,,,,5,103.8,30.,86.8,122.0,17.5,,,17.0,,,,,17.5,17.0,,17.0,,,,,,,5,107.0,26.,210.8,134,120
29.,40,RHOADS William,USA,87.0,127.0,18.0,,,17.5,,,,,18.0,17.5,,17.5,,,,,,,5,113.4,16.,86.7,111.0,16.0,,,16.0,,,,,16.0,16.0,,15.0,,,,,,,5,90.4,29.,203.8,134,120
30.,4,VASSILIEV Dimitry,RUS,87.2,123.5,17.5,,,17.0,,,,,17.0,17.0,,17.5,,,,,,,5,107.6,25.,87.1,103.0,16.0,,,16.0,,,,,16.5,16.0,,16.0,,,,,,,5,77.0,30.,184.6,134,120
1.,31,FANNEMEL Anders,NOR,91.3,133.0,,,17.5,18.0,,,18.0,,,17.5,,,,18.0,,,,,16,128.7,1.,91.3,127.5,,,18.0,18.0,,,18.0,,,18.0,,,,18.0,,,,,16,124.9,5.,253.6,140,125
2.,50,FREITAG Richard,GER,91.2,124.5,,,18.0,17.5,,,18.0,,,18.0,,,,18.0,,,,,16,121.8,4.,91.3,129.5,,,18.5,18.5,,,18.5,,,18.0,,,,18.5,,,,,16,131.7,1.,253.5,140,125
3.,45,STOCH Kamil,POL,91.0,125.5,,,18.0,18.0,,,18.0,,,18.0,,,,17.5,,,,,16,121.0,5.,91.1,129.0,,,18.0,18.5,,,18.0,,,18.0,,,,18.0,,,,,16,129.8,3.,250.8,140,125
4.,48,TANDE Daniel Andre,NOR,91.6,123.5,,,17.5,17.5,,,17.5,,,17.5,,,,17.5,,,,,16,118.6,12.,91.7,129.5,,,17.5,18.0,,,18.0,,,18.0,,,,18.0,,,,,16,126.8,4.,245.4,140,125
5.,22,GRANERUD Halvor Egner,NOR,91.4,132.0,,,18.0,18.0,,,18.0,,,18.0,,,,18.0,,,,,16,120.6,6.,91.4,125.5,,,18.0,18.0,,,18.0,,,18.5,,,,18.0,,,,,16,122.7,7.,243.3,140,125
6.,49,WELLINGER Andreas,GER,91.7,121.5,,,18.0,17.5,,,18.0,,,17.5,,,,17.5,,,,,16,111.9,21.,91.5,133.5,,,18.0,18.5,,,18.5,,,18.5,,,,18.5,,,,,16,130.3,2.,242.2,140,125
7.,44,KOBAYASHI Junshiro,JPN,90.7,128.0,,,17.5,17.0,,,17.5,,,17.5,,,,17.0,,,,,16,122.3,2.,90.7,124.0,,,18.0,17.5,,,17.5,,,18.0,,,,17.5,,,,,16,119.4,9.,241.7,140,125
8.,40,KUBACKI Dawid,POL,91.7,128.0,,,17.5,18.0,,,18.0,,,18.0,,,,17.5,,,,,16,119.7,10.,91.8,127.5,,,17.5,18.0,,,18.0,,,18.0,,,,18.0,,,,,16,121.8,8.,241.5,140,125
9.,41,JOHANSSON Robert,NOR,91.6,128.5,,,17.5,18.0,,,17.5,,,18.0,,,,17.5,,,,,16,122.3,2.,91.5,123.0,,,17.0,17.5,,,17.5,,,17.5,,,,17.5,,,,,16,117.9,11.,240.2,140,125
10.,38,ZYLA Piotr,POL,90.9,127.0,,,18.0,18.0,,,18.0,,,18.0,,,,18.0,,,,,16,120.4,8.,91.0,123.5,,,18.0,17.5,,,18.0,,,18.0,,,,18.0,,,,,16,118.6,10.,239.0,140,125
